timestamp,date,expiry_type,expiry,spot,atm,pcr_range,pcr_atm,ce_oi_L,pe_oi_L,atm_ce_oi_L,atm_pe_oi_L,pcr_chg,vix_open,vix_curr,spcl
2026-07-03 09:18,2026-07-03,near,2026-07-09,77898.19,77900,0.9449,0.8834,25.221,23.832,0.780,0.689,1.8723,12.29,12.11,47.0140
2026-07-03 09:18,2026-07-03,far,2026-08-13,77898.19,77900,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.11,
2026-07-03 09:21,2026-07-03,near,2026-07-09,77952.13,78000,0.9054,0.8009,36.189,32.765,5.701,4.566,1.0645,12.29,12.11,46.3171
2026-07-03 09:21,2026-07-03,far,2026-08-13,77952.13,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.11,
2026-07-03 09:25,2026-07-03,near,2026-07-09,78015.70,78000,0.9528,0.9197,36.965,35.222,5.701,5.243,1.1358,12.29,12.05,46.1925
2026-07-03 09:25,2026-07-03,far,2026-08-13,78015.70,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.05,
2026-07-03 09:28,2026-07-03,near,2026-07-09,78055.64,78100,0.9135,0.7299,37.680,34.422,2.175,1.588,1.1640,12.29,12.02,45.8309
2026-07-03 09:28,2026-07-03,far,2026-08-13,78055.64,78100,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.02,
2026-07-03 09:31,2026-07-03,near,2026-07-09,78074.54,78100,0.9489,0.8263,39.664,37.638,2.547,2.105,1.2037,12.29,12.03,45.9151
2026-07-03 09:31,2026-07-03,far,2026-08-13,78074.54,78100,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.03,
2026-07-03 09:34,2026-07-03,near,2026-07-09,78064.74,78100,0.9948,0.8889,40.806,40.594,3.051,2.712,1.2731,12.29,12.01,46.1075
2026-07-03 09:34,2026-07-03,far,2026-08-13,78064.74,78100,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.01,
2026-07-03 09:38,2026-07-03,near,2026-07-09,78054.93,78100,1.0302,0.9506,42.043,43.314,3.372,3.205,1.3136,12.29,12.02,46.0030
2026-07-03 09:38,2026-07-03,far,2026-08-13,78054.93,78100,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.02,
2026-07-03 09:41,2026-07-03,near,2026-07-09,78044.10,78000,1.1495,1.3053,45.096,51.837,7.168,9.356,1.4192,12.29,12.03,46.2953
2026-07-03 09:41,2026-07-03,far,2026-08-13,78044.10,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.03,
2026-07-03 09:45,2026-07-03,near,2026-07-09,77985.14,78000,1.1599,1.3315,45.460,52.729,7.156,9.528,1.4323,12.29,12.00,45.9629
2026-07-03 09:45,2026-07-03,far,2026-08-13,77985.14,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.00,
2026-07-03 09:48,2026-07-03,near,2026-07-09,77959.72,78000,1.1164,1.2329,47.302,52.809,7.574,9.338,1.3191,12.29,11.99,45.9008
2026-07-03 09:48,2026-07-03,far,2026-08-13,77959.72,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.99,
2026-07-03 09:52,2026-07-03,near,2026-07-09,77989.56,78000,1.1102,1.2336,47.692,52.945,7.574,9.343,1.3016,12.29,11.97,46.0520
2026-07-03 09:52,2026-07-03,far,2026-08-13,77989.56,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.97,
2026-07-03 09:55,2026-07-03,near,2026-07-09,77967.21,78000,1.0684,1.1056,49.025,52.376,8.294,9.171,1.2160,12.29,12.00,45.9280
2026-07-03 09:55,2026-07-03,far,2026-08-13,77967.21,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,12.00,
2026-07-03 09:58,2026-07-03,near,2026-07-09,77979.26,78000,1.0511,1.0748,49.606,52.140,8.488,9.123,1.1822,12.29,11.97,45.9034
2026-07-03 09:58,2026-07-03,far,2026-08-13,77979.26,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.97,
2026-07-03 10:02,2026-07-03,near,2026-07-09,77989.17,78000,1.0353,1.0288,50.909,52.706,9.152,9.415,1.1460,12.29,11.97,45.8516
2026-07-03 10:02,2026-07-03,far,2026-08-13,77989.17,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.97,
2026-07-03 10:05,2026-07-03,near,2026-07-09,77935.13,77900,1.1401,1.6625,47.030,53.621,2.894,4.811,1.2166,12.29,11.98,45.9448
2026-07-03 10:05,2026-07-03,far,2026-08-13,77935.13,77900,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.98,
2026-07-03 10:09,2026-07-03,near,2026-07-09,77997.01,78000,1.0162,0.9733,51.777,52.618,9.531,9.277,1.1091,12.29,11.97,45.8542
2026-07-03 10:09,2026-07-03,far,2026-08-13,77997.01,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.97,
2026-07-03 10:12,2026-07-03,near,2026-07-09,77979.28,78000,1.0274,1.0018,51.569,52.980,9.408,9.425,1.1273,12.29,11.96,45.7777
2026-07-03 10:12,2026-07-03,far,2026-08-13,77979.28,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.96,
2026-07-03 10:15,2026-07-03,near,2026-07-09,77977.19,78000,1.0310,1.0209,52.261,53.880,9.473,9.670,1.1302,12.29,11.93,45.6803
2026-07-03 10:15,2026-07-03,far,2026-08-13,77977.19,78000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.0000,12.29,11.93,
2026-07-03 10:19,2026-07-03,near,2026-07-09,77962.83,78000,1.0217,1.0089,52.592,53.731,9.528,9.613,1.1146,12.29,11.97,45.6685
