date,entry_ts,instrument,side,strike,opt_type,entry,init_sl,target,risk_per_lot,rr_needed_1_3,lots,exits,pnl_per_lot,r_multiple,met_1_3,status
2026-08-03,2026-08-03T10:10:00+05:30,NIFTY,BULLISH,24700,CE,20.0,10.29,25.19,9.71,49.13,10,TARGET_80PCT@25.19x8; SL@21.87x2,4.53,0.47,False,CLOSED
2026-08-03,2026-08-03T14:35:00+05:30,NIFTY,BULLISH,24700,CE,20.05,10.29,25.19,9.76,49.33,10,EOD@20.5x10,0.45,0.05,False,CLOSED
